code	value_en	description_en	synonym	chrLocation	chrBand	tissueType	codesystem	description_code
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	Tumour TYPE: leiomyoma	217,ALDH2,ENSG00000111275,P05091	12:111766983-111809575	12q24.2	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=217
ALK	anaplastic lymphoma kinase (Ki-1)	Tumour TYPE: ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour	238,ALK,ENSG00000171094,Q9UM73	2:29193224-29920659	2p23	L,E,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=238
AMER1	APC membrane recruitment protein 1	Tumour TYPE: Wilms tumour	139285,AMER1,ENSG00000184675,FAM123B,Q5JTC6	X:64186117-64193286	Xq11.2	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=139285
ANK1	ankyrin 1	Tumour TYPE: CCRCC	286,ANK,ANK1,ENSG00000029534,P16157	8:41655727-41797538	8p11.21	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=286
APC	adenomatous polyposis of the colon gene	Tumour TYPE: colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS		5:112754891-112844126	5q21		COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=324
APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B		9582,APOBEC3B,ENSG00000179750,Q9UH17	22:38982454-38992445	22q13.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=9582
AR	Androgen Receptor	Tumour TYPE: prostate	367,AR,DHTR,ENSG00000169083,SBMA	X:67545147-67723841	Xq12	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=367
ARAF	A-Raf proto-oncogene, serine/threonine kinase	Tumour TYPE: cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis	369,ARAF,ARAF1,ENSG00000078061,P10398	X:47562968-47571457	Xp11.3	E,L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=369
ARHGAP26	Rho GTPase activating protein 26	Tumour TYPE: AML, MDS	23092,ARHGAP26,ENSG00000145819,Q9UNA1	5:142770762-143222446	5q31	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=23092
ARHGAP5	Rho GTPase activating protein 5	Tumour TYPE: colon cancer, glioma	394,ARHGAP5,ENSG00000100852,GFI2,Q13017	14:32090670-32154948	14q12	E,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=394
ARHGEF10	Rho guanine nucleotide exchange factor 10	Tumour TYPE: colon cancer	9639,ARHGEF10,ENSG00000104728,O15013	8:1876561-1957263	8p23.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=9639
ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	Tumour TYPE: lymphoma	55160,ARHGEF10L,ENSG00000074964,Q9HCE6	1:17580596-17697380	1p36.13	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=55160
ARHGEF12	RHO guanine nucleotide exchange factor (GEF) 12 (LARG)	Tumour TYPE: AML	23365,ARHGEF12,ENSG00000196914,Q9NZN5	11:120337244-120485077	11q23.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=23365
ARID1A	AT rich interactive domain 1A (SWI-like)	Tumour TYPE: clear cell ovarian carcinoma, RCC, breast	8289,ARID1A,C1orf4,ENSG00000117713,O14497,SMARCF1	1:26696404-26780756	1p35.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8289
ARID1B	AT rich interactive domain 1B	Tumour TYPE: breast, hepatocellular carcinoma, clear cell ovarian carcinoma	57492,ARID1B,ENSG00000049618	6:156778104-157207891	6q25.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=57492
ARID2	AT rich interactive domain 2	Tumour TYPE: hepatocellular carcinoma	196528,ARID2,ENSG00000189079,Q68CP9	12:45729837-45905078	12q12	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=196528
ARNT	aryl hydrocarbon receptor nuclear translocator	Tumour TYPE: AML	405,ARNT,ENSG00000143437,P27540	1:150812021-150876567	1q21	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=405
ASPSCR1	alveolar soft part sarcoma chromosome region, candidate 1	Tumour TYPE: alveolar soft part sarcoma	79058,ASPSCR1,ENSG00000169696,Q9BZE9	17:81977648-82017323	17q25	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=79058
ASXL1	additional sex combs like 1	Tumour TYPE: MDS, CMML	171023,ASXL1,ENSG00000171456,Q8IXJ9	20:32358776-32437338	20q11.1	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=171023
ASXL2	additional sex combs like 2, transcriptional regulator	Tumour TYPE: melanoma, CCRCC, AML	55252,ASXL2,ENSG00000143970,Q76L83	2:25742029-25759640	2p23.3	E,L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=55252
ATF1	activating transcription factor 1	Tumour TYPE: malignant melanoma of soft parts, angiomatoid fibrous histiocytoma	466,ATF1,ENSG00000123268,P18846	12:50780147-50819780	12q13	E,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=466
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	Tumour TYPE: ALCL	471,ATIC,ENSG00000138363,P31939	2:215312144-215349656	2q35	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=471
ATM	ataxia telangiectasia mutated	Tumour TYPE: T-PLL	472,ATA,ATC,ATD,ATDC,ATM,ENSG00000149311,Q13315	11:108227625-108365508	11q22.3	L,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=472
ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	Tumour TYPE: adrenal aldosterone producing adenoma	476,ATP1A1,ENSG00000163399,P05023	1:116373512-116404444	1p21	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=476
ATP2B3	ATPase, Ca++ transporting, plasma membrane 3	Tumour TYPE: adrenal aldosterone producing adenoma	492,ATP2B3,CLA2,ENSG00000067842,Q16720,SCAX1	X:153536248-153580003	Xq28	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=492
ATR	ATR serine/threonine kinase	Tumour TYPE: endometrial, gastric, epithelial ovarian, myeloma		3:142449429-142578704	3q23	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=545
ATRX	alpha thalassemia/mental retardation syndrome X-linked	Tumour TYPE: pancreatic neuroendocrine tumours, paediatric GBM	546,ATRX,ENSG00000085224,JMS,MRX52,P46100,RAD54	X:77508351-77786001	Xq21.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=546
AXIN1	axin 1	Tumour TYPE: colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma	8312,AXIN1,ENSG00000103126,O15169	16:288122-347025	16p13.3	E,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8312
AXIN2	axin 2	Tumour TYPE: colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma	8313,AXIN2,ENSG00000168646,Q9Y2T1	17:65529976-65558620	17q24.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8313
B2M	beta-2-microglobulin	Tumour TYPE: DLBCL, melanoma, colorectal adenocarcinoma	567,B2M,ENSG00000166710,P61769	15:44711547-44716342	15q21.1	E,L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=567
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	Tumour TYPE: uveal melanoma, breast, NSCLC, RCC	8314,BAP1,ENSG00000163930,Q92560	3:52402288-52409878	3p21.31-p21.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8314
BARD1	BRCA1 associated RING domain 1	Tumour TYPE: breast cancer	580,BARD1,ENSG00000138376,Q99728	2:214728676-214809569	2q35	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=580
BAX	BCL2 associated X, apoptosis regulator	Tumour TYPE: colorectal cancer	581,BAX,ENSG00000087088,Q07812	19:48954929-48961097	19q13.33	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=581
BAZ1A	bromodomain adjacent to zinc finger domain 1A	Tumour TYPE: uterine carcinosarcoma, colon cancer	11177,BAZ1A,ENSG00000198604,Q9NRL2	14:34753508-34874604	14q13.1-q13.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=11177
BCL10	B-cell CLL/lymphoma 10	Tumour TYPE: MALT	8915,BCL10,ENSG00000142867,O95999	1:85267627-85276352	1p22	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8915
BCL11A	B-cell CLL/lymphoma 11A	Tumour TYPE: B-CLL	53335,BCL11A,ENSG00000119866,EVI9,Q9H165	2:60460404-60553270	2p13	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=53335
BCL11B	B-cell CLL/lymphoma 11B  (CTIP2)	Tumour TYPE: T-ALL	64919,BCL11B,ENSG00000127152,Q9C0K0,ZNF856B	14:99174151-99271218	14q32.1	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=64919
BCL2	B-cell CLL/lymphoma 2	Tumour TYPE: NHL, CLL	596,BCL2,ENSG00000171791,P10415	18:63128625-63318666	18q21.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=596
BCL2L12	BCL2 like 12	Tumour TYPE: melanoma, SCC	83596,BCL2L12,ENSG00000126453,Q9HB09	19:49665824-49673748	19q13.33	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=83596
BCL3	B-cell CLL/lymphoma 3	Tumour TYPE: CLL	602,BCL3,BCL4,D19S37,ENSG00000069399,P20749	19:44748791-44759615	19q13	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=602
BCL6	B-cell CLL/lymphoma 6	Tumour TYPE: NHL, CLL	604,BCL6,ENSG00000113916,P41182,ZNF51	3:187722458-187733693	3q27	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=604
BCL7A	B-cell CLL/lymphoma 7A	Tumour TYPE: BNHL	605,BCL7,BCL7A,ENSG00000110987,Q4VC05	12:122022092-122059163	12q24.1	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=605
BCL9	B-cell CLL/lymphoma 9	Tumour TYPE: B-ALL	607,BCL9,ENSG00000116128,O00512	1:147611837-147624864	1q21	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=607
BCL9L	B-cell CLL/lymphoma 9-like	Tumour TYPE: colorectal cancer, endometrial carcinoma, gastric cancer	283149,BCL9L,ENSG00000186174,Q86UU0	11:118898415-118909939	11q23.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=283149
BCLAF1	BCL2 associated transcription factor 1	Tumour TYPE: melanoma, SCC	9774,BCLAF1,ENSG00000029363,Q9NYF8	6:136261259-136279866	6q23.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=9774
BCOR	BCL6 corepressor	Tumour TYPE: retinoblastoma, AML, APL (translocation)	54880,BCOR,ENSG00000183337,Q6W2J9	X:40052109-40077929	Xp11.4	L,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=54880
BCORL1	BCL6 corepressor-like 1	Tumour TYPE: AML, HNSCC	63035,BCORL1,CXorf10,ENSG00000085185,Q5H9F3	X:130005232-130056136	Xq25-q26.1	E,L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=63035
BCR	breakpoint cluster region	Tumour TYPE: CML, ALL, AML	613,BCR,BCR1,D22S11,ENSG00000186716,P11274	22:23180961-23315522	22q11.21	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=613
BIRC3	baculoviral IAP repeat-containing 3	Tumour TYPE: CLL, MALT, MCL, MM	330,API2,BIRC3,ENSG00000023445,Q13489	11:102324510-102337102	11q22	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=330
BIRC6	baculoviral IAP repeat containing 6	Tumour TYPE: melanoma, gastric adenocarcinoma, lung adenocarcinoma	57448,BIRC6,ENSG00000115760,Q9NR09	2:32357162-32617904	2p22.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=57448
BLM	Bloom Syndrome		641,BLM,ENSG00000197299,P54132	15:90747393-90815279	15q26.1	L,E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=641
BMP5	bone morphogenetic protein 5	Tumour TYPE: melanoma	653,BMP5,ENSG00000112175,P22003	6:55755533-55874865	6p12.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=653
BMPR1A	bone morphogenetic protein receptor, type IA		657,ACVRLK3,ALK3,BMPR1A,CD292,ENSG00000107779,P36894	10:86876019-86923719	10q22.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=657
BRAF	v-raf murine sarcoma viral oncogene homolog B1	Tumour TYPE: melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric	673,BRAF,ENSG00000157764,P15056	7:140734597-140924703	7q34	E,O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=673
BRCA1	familial breast/ovarian cancer gene 1	Tumour TYPE: ovarian	672,BRCA1,ENSG00000012048,P38398	17:43045678-43124096	17q21	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=672
BRCA2	familial breast/ovarian cancer gene 2	Tumour TYPE: breast, ovarian, pancreatic	675,BRCA2,ENSG00000139618,FACD,FANCD,FANCD1,P51587	13:32316461-32398770	13q12	L,E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=675
BRD3	bromodomain containing 3	Tumour TYPE: lethal midline carcinoma of young people	8019,BRD3,ENSG00000169925,Q15059	9:134033590-134053477	9q34	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8019
BRD4	bromodomain containing 4	Tumour TYPE: lethal midline carcinoma of young people	23476,BRD4,ENSG00000141867,O60885	19:15249280-15273099	19p13.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=23476
BRIP1	BRCA1 interacting protein C-terminal helicase 1		83990,BRIP1,ENSG00000136492,Q9BX63	17:61683296-61861539	17q22	L,E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=83990
BTG1	B-cell translocation gene 1, anti-proliferative	Tumour TYPE: B-CLL	694,BTG1,ENSG00000133639,P62324	12:92144080-92145535	12q22	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=694
BTK	Bruton agammaglobulinemia tyrosine kinase	Tumour TYPE: CLL, mantle cell lymphoma, WM	695,AGMX1,BTK,ENSG00000010671,IMD1,Q06187	X:101349885-101375284	Xq21.33-q22	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=695
BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)		701,BUB1B,ENSG00000156970,O60566	15:40161221-40220759	15q15	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=701
C15orf65	chromosome 15 open reading frame 65	Tumour TYPE: PMBL, Hodgkin lymphoma		###############################################################################################################################################################################################################################################################	15q21.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=145788
C2orf44	chromosome 2 open reading frame 44	Tumour TYPE: colorectal	80304,C2orf44,ENSG00000163026,Q9H6R7	2:24030933-24039494	2p23.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=80304
CACNA1D	calcium channel, voltage-dependent, L type, alpha 1D subunit	Tumour TYPE: adrenal aldosterone producing adenoma	776,CACNA1D,CACNL1A2,CCHL1A2,ENSG00000157388,Q01668	3:53495167-53811406	3p14.3	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=776
CALR	calreticulin	Tumour TYPE: MPN, MDS	811,CALR,ENSG00000179218,P27797	19:12938680-12943913	19p13.3-p13.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=811
CAMTA1	calmodulin binding transcription activator 1	Tumour TYPE: epithelioid haemangioendothelioma	23261,CAMTA1,ENSG00000171735,Q9Y6Y1	1:6785531-7766491	1p36.31-p36.23	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=23261
CANT1	calcium activated nucleotidase 1	Tumour TYPE: prostate	124583,CANT1,ENSG00000171302,Q8WVQ1	17:78993550-78997622	17q25	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=124583
CARD11	caspase recruitment domain family, member 11	Tumour TYPE: DLBCL	84433,CARD11,ENSG00000198286,Q9BXL7	7:2906638-2958506	7p22	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=84433
CARS	cysteinyl-tRNA synthetase	Tumour TYPE: ALCL	833,CARS,ENSG00000110619,P49589	11:3001114-3057367	11p15.5	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=833
CASC5	cancer susceptibility candidate 5	Tumour TYPE: AML	57082,CASC5,ENSG00000137812,MCPH4,Q8NG31	15:40602933-40654977	15q14	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=57082
CASP3	caspase 3	Tumour TYPE: ovarian cancer	836,CASP3,ENSG00000164305,P42574	4:184629272-184638453	4q35.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=836
CASP8	caspase 8, apoptosis-related cysteine peptidase	Tumour TYPE: hepatocellular, oral squamous cell, breast	841,CASP8,ENSG00000064012,Q14790	2:201266487-201286594	2q33-q34	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=841
CASP9	caspase 9	Tumour TYPE: glioma	842,CASP9,ENSG00000132906,P55211	1:15492943-15524200	1p36.21	O	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=842
CBFA2T3	core-binding factor, runt domain, alpha subunit 2						COSMIC	
CBFB	core-binding factor, beta subunit	Tumour TYPE: AML	865,CBFB,ENSG00000067955,Q13951	16:67029409-67098733	16q22	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=865
CBL	Cas-Br-M (murine) ecotropic retroviral transforming	Tumour TYPE: AML, JMML, MDS	867,CBL,CBL2,ENSG00000110395,P22681	11:119206418-119299781	11q23.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=867
CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	Tumour TYPE: AML	868,CBLB,ENSG00000114423,Q13191	3:105658970-105867577	3q13.11	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=868
CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	Tumour TYPE: AML	23624,CBLC,ENSG00000142273,Q9ULV8	19:44777932-44800443	19q13.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=23624
CCDC6	coiled-coil domain containing 6	Tumour TYPE: papillary thyroid, CML, NSCLC	8030,CCDC6,D10S170,ENSG00000108091,Q16204,TST1	10:59792917-59906424	10q21	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=8030
CCNB1IP1	cyclin B1 interacting protein 1, E3 ubiquitin protein ligase	Tumour TYPE: leiomyoma	57820,C14orf18,CCNB1IP1,ENSG00000100814,Q9NPC3	14:20311550-20316523	14q11.2	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=57820
CCNC	cyclin C	Tumour TYPE: T-ALL		6:99991431-100010824	6q16.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=892
CCND1	cyclin D1	Tumour TYPE: CLL, B-ALL, breast	595,BCL1,CCND1,D11S287E,ENSG00000110092,P24385,PRAD1	11:69641314-69651282	11q13	L,E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=595
CCND2	cyclin D2	Tumour TYPE: NHL,CLL	894,CCND2,ENSG00000118971,P30279	12:4274041-4300009	12p13	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=894
CCND3	cyclin D3	Tumour TYPE: MM	896,CCND3,ENSG00000112576,P30281	6:41935940-41941649	6p21	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=896
CCNE1	cyclin E1	Tumour TYPE: serous ovarian	898,CCNE,CCNE1,ENSG00000105173,P24864	19:29812556-29823777	19q12	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=898
CCR4	C-C motif chemokine receptor 4	Tumour TYPE: adult T-cell leukaemia/lymphoma	1233,CCR4,ENSG00000183813,P51679	3:32953423-32954505	3p22.3	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1233
CCR7	C-C motif chemokine receptor 7	Tumour TYPE: adult T-cell leukaemia/lymphoma	1236,CCR7,CMKBR7,EBI1,ENSG00000126353,P32248	17:40554742-40565409	17q21.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1236
CD209	CD209 molecule	Tumour TYPE: prostate carcinoma	30835,CD209,ENSG00000090659,Q9NNX6	19:7743039-7747511	19p13.2	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=30835
CD274	CD274 molecule	Tumour TYPE: PMBL, Hodgkin lymphoma	29126,CD274,ENSG00000120217,PDCD1LG1,Q9NZQ7	9:5456114-5467862	9p24	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=29126
CD28	CD28 molecule	Tumour TYPE: T-cell lymphoma	940,CD28,ENSG00000178562,P10747	2:203706697-203734912	2q33.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=940
CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	Tumour TYPE: NSCLC	972,CD74,DHLAG,ENSG00000019582,P04233	5:150402584-150412749	5q32	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=972
CD79A	CD79a molecule, immunoglobulin-associated alpha	Tumour TYPE: DLBCL, WM	973,CD79A,ENSG00000105369,IGA,P11912	19:41877305-41880980	19q13.2	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=973
CD79B	CD79b molecule, immunoglobulin-associated beta	Tumour TYPE: DLBCL, WM	974,CD79B,ENSG00000007312,IGB,P40259	17:63929226-63932261	17q23	L	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=974
CDC73	cell division cycle 73	Tumour TYPE: parathyroid adenoma	79577,C1orf28,CDC73,ENSG00000134371,HRPT1,HRPT2,Q6P1J9	1:193122201-193250712	1q21-q31	E,M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=79577
CDH1	cadherin 1, type 1, E-cadherin (epithelial) (ECAD)	Tumour TYPE: lobular breast, gastric	999,CDH1,ENSG00000039068,P12830,UVO	16:68737416-68833499	16q22.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=999
CDH10	cadherin 10	Tumour TYPE: melanoma	1008,CDH10,ENSG00000040731,Q9Y6N8	5:24487663-24593490	5p14.2-p14.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1008
CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	Tumour TYPE: aneurysmal bone cyst	1009,CDH11,ENSG00000140937,P55287	16:64947603-65004869	16q22.1	M	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1009
CDH17	cadherin 17	Tumour TYPE: melanoma	1015,CDH17,ENSG00000079112,Q12864	8:94128240-94194685	8q22.1	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=1015
CDK12	cyclin-dependent kinase 12	Tumour TYPE: serous ovarian	51755,CDK12,CRKRS,ENSG00000167258,Q9NYV4	17:39462072-39531316	17q12	E	COSMIC	https://www.ncbi.nlm.nih.gov/gene/?term=51755
