id	gene	label	synonym	chrLocation	refSeqId	locusType	linkPubmed	linkEnsembl
HGNC:20007	DDX18P1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 pseudogene 1	NA	14q24.1	NG_002480	pseudogene	NA	NA
HGNC:1340	C6orf1	chromosome 6 open reading frame 1	MGC57858|LBH	6p21.3	NM_001008703	gene with protein product	10036196	ENSG00000186577
HGNC:1692	CD63	CD63 molecule	TSPAN30|ME491	12q12-q13	NM_001040034	gene with protein product	NA	ENSG00000135404
HGNC:16082	GTF2IP2	general transcription factor IIi, pseudogene 2	NA	21	NA	pseudogene	NA	ENSG00000226930
HGNC:7866	NOG	noggin	NA	17q22	NM_005450	gene with protein product	7666191, 10080184, 11545688	ENSG00000183691
HGNC:24402	CYCSP28	cytochrome c, somatic pseudogene 28	HCP28	11q14.1	NG_002978	pseudogene	12909341	NA
HGNC:37568	PIRC64	piwi-interacting RNA cluster 64	NA	15	NA	RNA, cluster	17881367	NA
HGNC:16035	STRC	stereocilin	NA	15q15.3	NM_153700	gene with protein product	11687802, 9429146	ENSG00000242866
HGNC:8191	OR1E3	olfactory receptor, family 1, subfamily E, member 3 (gene/pseudogene)	OR17-210	17p13.3	NG_002151	gene with protein product	8004088, 10673334	NA
HGNC:8355	OR6C1	olfactory receptor, family 6, subfamily C, member 1	OST267	12q13.13	NM_001005182	gene with protein product	NA	ENSG00000205330
HGNC:30279	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2	FLJ10244|KIAA0351|FLJ25604	1q24	NM_152663	gene with protein product	10747847, 12102558	ENSG00000116191
HGNC:220	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif, 4	ADAMTS-2|ADMP-1|KIAA0688	1q31-q32	NM_005099	gene with protein product	10094461	ENSG00000158859
HGNC:38037	PPIAP20	peptidylprolyl isomerase A (cyclophilin A) pseudogene 20	NA	19p13.2	NA	pseudogene	NA	NA
HGNC:24838	ENHO	energy homeostasis associated	UNQ470	9p13.3	NM_198573	gene with protein product	12975309, 19041763	ENSG00000168913
HGNC:23901	RBMY2XP	RNA binding motif protein, Y-linked, family 2, member X pseudogene	NA	Yq11.223	NG_004755	pseudogene	12815422	NA
HGNC:9994	RGS12	regulator of G-protein signaling 12	NA	4p16.3	NM_002926	gene with protein product	9651375	ENSG00000159788
HGNC:2156	CNN2	calponin 2	NA	19p13.3	NM_004368	gene with protein product	8889829	ENSG00000064666
HGNC:30649	CCDC80	coiled-coil domain containing 80	URB|DRO1|SSG1	3q13.2	NM_199511	gene with protein product	8889548, 15325258	ENSG00000091986
HGNC:12014	TPMT	thiopurine S-methyltransferase	NA	6p22.3	NM_000367	gene with protein product	8316220	ENSG00000137364
HGNC:351	AIED	Aland island eye disease (Forsius-Eriksson ocular albinism, ocular albinism type 2)	OA2	Xp21-q21	NA	phenotype only	NA	NA
HGNC:30630	SPSB4	splA/ryanodine receptor domain and SOCS box containing 4	SSB-4	3q23	NM_080862	gene with protein product	12076535	ENSG00000175093
HGNC:27380	ASPHD1	aspartate beta-hydroxylase domain containing 1	NA	16p11.2	NM_181718	gene with protein product	NA	ENSG00000174939
HGNC:7551	MYBPC3	myosin binding protein C, cardiac	FHC|MYBP-C	11p11.2	NM_000256	gene with protein product	7744002, 8358441	ENSG00000134571
HGNC:32562	SCARNA6	small Cajal body-specific RNA 6	U88	2q37.1	NR_003006	RNA, Cajal body-specific	12032087	ENSG00000251791
HGNC:35719	RPL31P32	ribosomal protein L31 pseudogene 32	NA	6q14.3	NG_011350	pseudogene	19123937	NA
HGNC:37938	EIF4BP5	eukaryotic translation initiation factor 4B pseudogene 5	NA	16q12.1	NG_022504	pseudogene	NA	NA
HGNC:25563	C17orf63	chromosome 17 open reading frame 63	FLJ10700	17q11.2	NM_001077498	gene with protein product	NA	ENSG00000173065
HGNC:28457	C8orf51	chromosome 8 open reading frame 51	MGC3113	8q24	NR_026785	gene with protein product	12477932	NA
HGNC:5228	DNAJB2	DnaJ (Hsp40) homolog, subfamily B, member 2	HSPF3	2q32-q34	NM_001039550	gene with protein product	1599432, 10516435	ENSG00000135924
HGNC:3101	DYT13	dystonia 13, torsion	NA	1p36	NA	phenotype only	NA	NA
HGNC:26864	C17orf57	chromosome 17 open reading frame 57	FLJ40342	17q21.32	NM_152347	gene with protein product	NA	ENSG00000178852
HGNC:14952	PPP1R14C	protein phosphatase 1, regulatory (inhibitor) subunit 14C	CPI17-like|KEPI|NY-BR-81	6q24.3-q25.3	NM_030949	gene with protein product	11948623	ENSG00000198729
HGNC:23081	RHBDD1	rhomboid domain containing 1	DKFZp547E052	2q36.3	NM_001167608	gene with protein product	12838346	ENSG00000144468
HGNC:26238	DCAKD	dephospho-CoA kinase domain containing	FLJ22955	17q21.31	NM_001128631	gene with protein product	NA	ENSG00000172992
HGNC:10801	SFTPB	surfactant protein B	SP-B	2p12-p11.2	NM_000542	gene with protein product	2924687, 1346779	ENSG00000168878
HGNC:18115	DEFB104A	defensin, beta 104A	DEFB4|DEFB-4	8p23.1	NM_080389	gene with protein product	NA	ENSG00000176782
HGNC:28701	SCARA5	scavenger receptor class A, member 5 (putative)	NET33|FLJ23907|MGC45780	8p21.1	NM_173833	gene with protein product	12477932	ENSG00000168079
HGNC:38663	NCRNA00276	non-protein coding RNA 276	NA	2p24.3	NA	gene with no protein product	NA	NA
HGNC:22982	PHF16	PHD finger protein 16	KIAA0215	Xp11.3	NM_001077445	gene with protein product	11944989	ENSG00000102221
HGNC:6538	LDHAL3	lactate dehydrogenase A-like 3	NA	2p21	NG_009318	pseudogene	3180843	NA
HGNC:36444	RPS20P32	ribosomal protein S20 pseudogene 32	NA	13q12.13	NG_010130	pseudogene	19123937	NA
HGNC:20763	ANKFY1	ankyrin repeat and FYVE domain containing 1	ANKHZN|ZFYVE14|KIAA1255	17p13.3	NM_016376	gene with protein product	10940552, 17273843	ENSG00000185722
HGNC:4411	GNGT1	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1	GNG1	7q21.3	NM_021955	gene with protein product	8661128	ENSG00000127928
HGNC:14452	ANAPC11	anaphase promoting complex subunit 11	Apc11p|MGC882|APC11|HSPC214	17q25.3	NM_001002244	gene with protein product	10922056	ENSG00000141552
HGNC:25016	SSU72	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)	HSPC182	1p36	NM_014188	gene with protein product	15125841, 15659578	ENSG00000160075
HGNC:19828	C14orf23	chromosome 14 open reading frame 23	NA	14q11.2	NR_026731	gene with protein product	NA	ENSG00000186960
HGNC:18890	KRTAP3-3	keratin associated protein 3-3	KAP3.3	17q12-q21	NM_033185	gene with protein product	11279113	ENSG00000212899
HGNC:4587	GRIN2C	glutamate receptor, ionotropic, N-methyl D-aspartate 2C	NA	17q24-q25	NM_000835	gene with protein product	9480759	ENSG00000161509
HGNC:16671	PISRT1	polled intersex syndrome regulated transcript 1 (non-protein coding RNA)	NCRNA00195	3q23	NR_027070	gene with no protein product	NA	NA
HGNC:16934	FEM1A	fem-1 homolog a (C. elegans)	NA	19p13.3	NM_018708	gene with protein product	11441184	ENSG00000141965
HGNC:5740	IGKV1-39	immunoglobulin kappa variable 1-39 (gene/pseudogene)	NA	2p11.2	NG_000834	immunoglobulin gene	NA	ENSG00000242371
HGNC:9982	RFX1	regulatory factor X, 1 (influences HLA class II expression)	EF-C	19p13.1	NM_002918	gene with protein product	1505960, 8289803	ENSG00000132005
HGNC:28201	TMEM128	transmembrane protein 128	MGC13159	4p16.3	NM_032927	gene with protein product	NA	ENSG00000132406
HGNC:12520	UFD1L	ubiquitin fusion degradation 1 like (yeast)	UFD1	22q11.2	NM_001035247	gene with protein product	9063746	ENSG00000070010
HGNC:26557	C12orf67	chromosome 12 open reading frame 67	FAM191B|FLJ32894	12p12.1	NM_144667	gene with protein product	14702039	ENSG00000197503
HGNC:38163	SRRM1P2	serine/arginine repetitive matrix 1 pseudogene 2	NA	3p12	NG_022252	pseudogene	NA	NA
HGNC:3770	FMO2	flavin containing monooxygenase 2 (non-functional)	NA	1q24.3	NM_001460	gene with protein product	1417778, 9804831	ENSG00000094963
HGNC:5038	HNRNPDP	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa) pseudogene	AUF1P|AUF1B	Xq12	NG_000874	pseudogene	8661052	NA
HGNC:28489	KLHDC9	kelch domain containing 9	KARCA1	1q23.3	NM_001007255	gene with protein product	15159402	ENSG00000162755
HGNC:18147	C9orf141	chromosome 9 open reading frame 141	NA	9q34.3	XM_001713675	gene with protein product	NA	ENSG00000198454
HGNC:21181	SUMO4	SMT3 suppressor of mif two 3 homolog 4 (S. cerevisiae)	dJ281H8.4	6	NM_001002255	gene with protein product	15123604	ENSG00000177688
HGNC:24338	C1GALT1C1	C1GALT1-specific chaperone 1	COSMC|C1GALT2	Xq24	NM_001011551	gene with protein product	11042152, 12361956	ENSG00000171155
HGNC:24075	AMIGO3	adhesion molecule with Ig-like domain 3	NA	3p21	NM_198722	gene with protein product	12629050, 12975309	ENSG00000176020
HGNC:32705	SNORD9	small nucleolar RNA, C/D box 9	mgU6-53B	14q11.2	NR_003029	RNA, small nucleolar	10490628	ENSG00000199436
HGNC:2600	CYP21A2	cytochrome P450, family 21, subfamily A, polypeptide 2	P450c21B|CAH1|CA21H|CPS1	6p21.3	XM_002344007	gene with protein product	NA	ENSG00000235134
HGNC:25443	C19orf12	chromosome 19 open reading frame 12	DKFZP762D096|MGC10922	19q13.11	NM_001031726	gene with protein product	12477932	ENSG00000131943
HGNC:23850	CDY5P	chromodomain protein, Y-linked 5 pseudogene	NA	Yq11.221	NG_004636	pseudogene	12815422	NA
HGNC:35668	RPS6P16	ribosomal protein S6 pseudogene 16	NA	11q23.1	NG_010818	pseudogene	19123937	NA
HGNC:3277	EIF3E	eukaryotic translation initiation factor 3, subunit E	eIF3e|eIF3-p48	8q22-q23	NM_001568	gene with protein product	9403073, 9295280	ENSG00000104408
HGNC:19252	NDUFA9P1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9, pseudogene 1	dJ106I20.2	22	NG_002366	pseudogene	NA	NA
HGNC:28920	CEP170	centrosomal protein 170kDa	KAB|FAM68A	1q44	NM_001042404	gene with protein product	15616186	ENSG00000143702
HGNC:31254	OR2T32P	olfactory receptor, family 2, subfamily T, member 32 pseudogene	NA	1	NG_004411	pseudogene	NA	NA
HGNC:38590	HSPD1P19	heat shock 60kDa protein 1 (chaperonin) pseudogene 19	HSPD1-18P	20q13.32	NG_023062	pseudogene	NA	NA
HGNC:33186	DBX2	developing brain homeobox 2	FLJ16139	12q12	NM_001004329	gene with protein product	11239429	ENSG00000185610
HGNC:36324	RPL35AP34	ribosomal protein L35a pseudogene 34	NA	16p13.12	NG_010123	pseudogene	19123937	NA
HGNC:25063	DMKN	dermokine	ZD52F10	19q13.12	NM_001035516	gene with protein product	16374476	ENSG00000161249
HGNC:38543	NCRNA00268	non-protein coding RNA 268	NCRNA00268A	9p11.2	NM_001013727	gene with no protein product	NA	NA
HGNC:2460	CSNK2B	casein kinase 2, beta polypeptide	NA	6p21.3	NM_001320	gene with protein product	2276748, 9503014	ENSG00000224774
HGNC:27282	C12orf77	chromosome 12 open reading frame 77	NA	12p12.1	NM_001101339	gene with protein product	12477932	ENSG00000226397
HGNC:36950	RPL35AP33	ribosomal protein L35a pseudogene 33	NA	16q22.1	NG_010077	pseudogene	19123937	NA
HGNC:18704	NAA10	N(alpha)-acetyltransferase 10, NatA catalytic subunit	DXS707|TE2	Xq28	NM_003491	gene with protein product	7981673, 19660095	ENSG00000102030
HGNC:31384	RPL14P1	ribosomal protein L14 pseudogene 1	bcm1298	12q14.2	NG_009597	pseudogene	19123937	NA
HGNC:3416	EPOR	erythropoietin receptor	NA	19p13.3-p13.2	NM_000121	gene with protein product	NA	ENSG00000187266
HGNC:31337	HCG18	HLA complex group 18	Em:AB014087.1|FLJ25550|FLJ31598	6p21.3	NR_024052	gene with protein product	NA	ENSG00000224705
HGNC:28087	ARRDC4	arrestin domain containing 4	FLJ36045	15q26.2	NM_183376	gene with protein product	12477932	ENSG00000140450
HGNC:8811	PDK3	pyruvate dehydrogenase kinase, isozyme 3	NA	Xp22.12	NM_001142386	gene with protein product	7499431	ENSG00000067992
HGNC:33819	ZNF833	zinc finger protein 833	NA	19p13.2	NM_001013691	gene with protein product	NA	ENSG00000197332
HGNC:14888	DNAJB6	DnaJ (Hsp40) homolog, subfamily B, member 6	MRJ	7q36.3	NM_005494	gene with protein product	10319584, 9915854	ENSG00000105993
HGNC:33800	C17orf97	chromosome 17 open reading frame 97	LOC400566	17p13.3	NM_001013672	gene with protein product	12477932	ENSG00000187624
HGNC:8999	PISD	phosphatidylserine decarboxylase	PSDC|dJ858B16.2	22q12.2	NM_014338	gene with protein product	10591208	ENSG00000241878
HGNC:34522	CLEC19A	C-type lectin domain family 19, member A	NA	16p12.3	NA	gene with protein product	NA	ENSG00000188477
HGNC:27365	TECRL	trans-2,3-enoyl-CoA reductase-like	DKFZp313D0829|DKFZp313B2333|GPSN2L|SRD5A2L2|TERL	4q13.1	NM_001010874	gene with protein product	12477932	ENSG00000205678
HGNC:11947	TNNI3	troponin I type 3 (cardiac)	CMH7|TNNC1	19q13.4	NM_000363	gene with protein product	9605869, 9241277	ENSG00000129991
HGNC:14822	OR4G4P	olfactory receptor, family 4, subfamily G, member 4 pseudogene	NA	1p36.33	NG_004148	pseudogene	NA	NA
HGNC:5215	HSD17B7	hydroxysteroid (17-beta) dehydrogenase 7	PRAP|SDR37C1	1q23	NM_016371	gene with protein product	10544267, 10419022, 19027726	ENSG00000132196
HGNC:23214	EXOC7	exocyst complex component 7	YJL085W|KIAA1067|Exo70p|EXO70	17q25.3	NM_001013839	gene with protein product	12477932	ENSG00000182473
HGNC:37485	RBPJP5	RBPJ pseudogene 5	NA	9p12	XR_078403	pseudogene	NA	ENSG00000232239
HGNC:8154	OPRK1	opioid receptor, kappa 1	KOR	8q11.2	NM_000912	gene with protein product	8188308	ENSG00000082556
HGNC:8318	OR52A1	olfactory receptor, family 52, subfamily A, member 1	HPFH1OR	11p15.4	NM_012375	gene with protein product	10512676	ENSG00000182070
HGNC:29408	FHAD1	forkhead-associated (FHA) phosphopeptide binding domain 1	KIAA1937	1p36.21	NM_052929	gene with protein product	11572484	ENSG00000142621
HGNC:6348	KLF4	Kruppel-like factor 4 (gut)	EZF|GKLF	9q31	NM_004235	gene with protein product	9422764., 16372018	ENSG00000136826
HGNC:2106	CMD1F	cardiomyopathy, dilated 1F (autosomal dominant)	CDCD3|LGMD1E	6q23	NA	phenotype only	9382102	NA
HGNC:30149	PSMC6P2	proteasome 26S subunit, ATPase, 6 pseudogene 2	NA	12q15	NG_001564	pseudogene	NA	NA
HGNC:3454	ERV3	endogenous retroviral sequence 3	ERV-R|HERV-R|H-PLK	7p12-q11	NM_001007253	endogenous retrovirus	2115127, 6495650	ENSG00000213462
HGNC:7501	MT-TW	mitochondrially encoded tRNA tryptophan	trnW	mitochondria	NA	RNA, transfer	NA	NA
HGNC:15566	ILKAP	integrin-linked kinase-associated serine/threonine phosphatase 2C	DKFZP434J2031|FLJ10181	2q37.3	NM_030768	gene with protein product	NA	ENSG00000132323
HGNC:30130	PAQR3	progestin and adipoQ receptor family member III	NA	4q21	NM_001040202	gene with protein product	16044242	ENSG00000163291
HGNC:17785	PRHOXNB	parahox cluster neighbor	URAD	13q12.2	NM_001105577	gene with protein product	16462750	ENSG00000183463
HGNC:34281	RNU6-37	RNA, U6 small nuclear 37	NA	1	NA	RNA, small nuclear	NA	NA
HGNC:12089	TRAJ57	T cell receptor alpha joining 57	NA	14q11.2	NG_001332	T cell receptor gene	8188290	NA
HGNC:37438	VN1R110P	vomeronasal 1 receptor 110 pseudogene	NA	Xp11.23	NG_015661	pseudogene	NA	NA
HGNC:32062	C1orf148	chromosome 1 open reading frame 148	FLJ32878	1q42.13	NA	gene with protein product	NA	ENSG00000203684
HGNC:35200	DNM1P47	DNM1 pseudogene 47	DNM1DN14-3	15q26.3	NG_009149	pseudogene	NA	NA
HGNC:12333	TRPC1	transient receptor potential cation channel, subfamily C, member 1	HTRP-1	3q23	NM_003304	gene with protein product	7568191, 16382100	ENSG00000144935
HGNC:9628	PTMAP5	prothymosin, alpha pseudogene 5	NA	13q13.1	NG_004798	pseudogene	1612591	ENSG00000214182
HGNC:23141	TRMT5	TRM5 tRNA methyltransferase 5 homolog (S. cerevisiae)	TRM5	14q23.1	NM_020810	gene with protein product	15248782	ENSG00000126814
HGNC:25652	LSG1	large subunit GTPase 1 homolog (S. cerevisiae)	FLJ11301	3q29	NM_018385	gene with protein product	11230166	ENSG00000041802
HGNC:20200	HDHD1BP	HDHD family member 1B, pseudogene	NA	Yq11.221	NG_002612	pseudogene	1734713, 1284467	NA
HGNC:11827	TJP1	tight junction protein 1 (zona occludens 1)	DKFZp686M05161|ZO-1|MGC133289	15q13	NM_003257	gene with protein product	8825647	ENSG00000104067
HGNC:8987	PIM2	pim-2 oncogene	NA	Xp11.23	NM_006875	gene with protein product	9804974	ENSG00000102096
HGNC:6860	MAP3K8	mitogen-activated protein kinase kinase kinase 8	c-COT|Tpl-2|EST|MEKK8	10p11.2	NM_005204	gene with protein product	2072910, 8479752	ENSG00000107968
HGNC:19122	HMGA1L7	high mobility group AT-hook 1-like 7	NA	6q23.2	NA	pseudogene	NA	ENSG00000216753
HGNC:24974	TRMT2A	TRM2 tRNA methyltransferase 2 homolog A (S. cerevisiae)	HTF9C	22q11.21	NM_022727	gene with protein product	9417108, 18075473	ENSG00000099899
